world,node,child,value_0.2_1,value_0.28_1,value_0.391_1,value_0.547_1,value_0.765_1,value_1.07_1,value_1.496_1,value_2.092_1,value_2.925_1,value_4.091_1,value_5.721_1,value_8_1
hard_two_big_rooms_0,N35544,N67800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N35544,N50885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N24007,N61963,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N24007,N56618,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N98387,N12264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N98387,N83892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N15950,N85021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N15950,N97988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N94507,N53582,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N94507,N55990,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N47836,N59915,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N47836,N81527,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
