"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"PW",-21.2420835677742,0.6778,1,0.1,NA,NA,NA,NA,"S84565588","Planning"
"PW_DU",-18.3638013561,0.948,0,0.3688,NA,NA,NA,NA,"S84565588","Planning"
"Random",-46.4039962147613,1,NA,NA,NA,NA,NA,NA,"S84565588","Heuristic"
"Sampling",-27.3097988427349,NA,NA,NA,NA,NA,8.4,1.8,"S84565588","Planning"
"Steps",-18.087614180403,0.7214,NA,NA,1,NA,NA,NA,"S84565588","Heuristic"
"Steps-Cells",-18.6629659336925,0.7214,NA,NA,0.98,NA,NA,NA,"S84565588","Heuristic"
"Steps-Cells-Num",-20.1478019736977,0.232,NA,NA,0.98,0.34,NA,NA,"S84565588","Heuristic"
"Steps-Num",-19.5383885331934,0.232,NA,NA,1,0.34,NA,NA,"S84565588","Heuristic"
"Cells",-47.3527820525223,8,NA,NA,0,NA,NA,NA,"S56618969","Heuristic"
"Cells-Num",-46.6862339481867,3.1056,NA,NA,0,0.1,NA,NA,"S56618969","Heuristic"
"DU",-44.948608884357,1.7684,0.7,1,NA,NA,NA,NA,"S56618969","Planning"
"DU-Num",-44.92681799,0.7824,0.4,1,NA,0.7,NA,NA,"S56618969","Planning"
"EU",-43.2787758366764,2.7584,1,1,NA,NA,NA,NA,"S56618969","Planning"
"EU-Num",-43.2787758366764,2.7584,1,1,NA,10,NA,NA,"S56618969","Planning"
"PW",-42.6879765452877,1.8536,1,0.4982,NA,NA,NA,NA,"S56618969","Planning"
"PW_DU",-46.64094687,1.7684,0.65,1.521,NA,NA,NA,NA,"S56618969","Planning"
"Random",-44.612136740533,1,NA,NA,NA,NA,NA,NA,"S56618969","Heuristic"
"Sampling",-42.6206322339936,NA,NA,NA,NA,NA,11,8.6,"S56618969","Planning"
"Steps",-44.4966346844324,4.5098,NA,NA,1,NA,NA,NA,"S56618969","Heuristic"
"Steps-Cells",-43.832806168077,1.3596,NA,NA,0.56,NA,NA,NA,"S56618969","Heuristic"
"Steps-Cells-Num",-43.9431220830898,0.2542,NA,NA,0.56,0.1,NA,NA,"S56618969","Heuristic"
"Steps-Num",-44.4569987746084,0.8434,NA,NA,1,0.1,NA,NA,"S56618969","Heuristic"
"Cells",-55.0178725253133,8,NA,NA,0,NA,NA,NA,"S57356312","Heuristic"
"Cells-Num",-47.1236988882885,8,NA,NA,0,0.1,NA,NA,"S57356312","Heuristic"
"DU",-23.4041505835491,1.1552,0.12,1,NA,NA,NA,NA,"S57356312","Planning"
"DU-Num",-24.578668464,0.3466,0.16,1,NA,0.42,NA,NA,"S57356312","Planning"
"EU",-47.2590394984915,7.5442,1,1,NA,NA,NA,NA,"S57356312","Planning"
"EU-Num",-47.2590394984915,7.5442,1,1,NA,10,NA,NA,"S57356312","Planning"
"PW",-24.2566708548863,0.948,1,0.1,NA,NA,NA,NA,"S57356312","Planning"
"PW_DU",-22.2080890226,1.07,0.2,2,NA,NA,NA,NA,"S57356312","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S57356312","Heuristic"
"Sampling",-25.9326593966427,NA,NA,NA,NA,NA,9,1,"S57356312","Planning"
"Steps",-24.6129082223717,1.2404,NA,NA,1,NA,NA,NA,"S57356312","Heuristic"
"Steps-Cells",-24.6129082223717,1.2404,NA,NA,1,NA,NA,NA,"S57356312","Heuristic"
"Steps-Cells-Num",-25.4032779278453,0.4464,NA,NA,1,0.42,NA,NA,"S57356312","Heuristic"
"Steps-Num",-25.4032779278453,0.4464,NA,NA,1,0.42,NA,NA,"S57356312","Heuristic"
"Cells",-43.9119233083131,8,NA,NA,0,NA,NA,NA,"S24416072","Heuristic"
"Cells-Num",-43.1709447924157,2.4252,NA,NA,0,0.1,NA,NA,"S24416072","Heuristic"
"DU",-36.3912892194133,1.2404,0.79,1,NA,NA,NA,NA,"S24416072","Planning"
"DU-Num",-36.66195252,0.603,0.48,1,NA,0.9,NA,NA,"S24416072","Planning"
"EU",-39.2056493721897,1.8536,1,1,NA,NA,NA,NA,"S24416072","Planning"
"EU-Num",-39.2056493721897,1.8536,1,1,NA,10,NA,NA,"S24416072","Planning"
"PW",-38.2910540526087,1.2404,1,0.6952,NA,NA,NA,NA,"S24416072","Planning"
"PW_DU",-37.129184263,1.2404,0.72,1.466,NA,NA,NA,NA,"S24416072","Planning"
"Random",-42.1271300857446,1,NA,NA,NA,NA,NA,NA,"S24416072","Heuristic"
"Sampling",-40.4112590877867,NA,NA,NA,NA,NA,10.2,14.4,"S24416072","Planning"
"Steps",-40.3996162201885,5.395,NA,NA,1,NA,NA,NA,"S24416072","Heuristic"
"Steps-Cells",-39.8550038730443,1.0942,NA,NA,0.52,NA,NA,NA,"S24416072","Heuristic"
"Steps-Cells-Num",-40.3209300319472,0.3778,NA,NA,0.56,0.34,NA,NA,"S24416072","Heuristic"
"Steps-Num",-40.3329916700113,1.009,NA,NA,1,0.1,NA,NA,"S24416072","Heuristic"
"Cells",-55.7683118119316,8,NA,NA,0,NA,NA,NA,"S84421241","Heuristic"
"Cells-Num",-47.2725952675128,8,NA,NA,0,0.1,NA,NA,"S84421241","Heuristic"
"DU",-15.7939376050048,0.7214,0.08,1,NA,NA,NA,NA,"S84421241","Planning"
"DU-Num",-16.4234186433,0.4642,0.08,1,NA,4.14,NA,NA,"S84421241","Planning"
"EU",-46.9672383475205,8,1,1,NA,NA,NA,NA,"S84421241","Planning"
"EU-Num",-46.9672383475205,8,1,1,NA,10,NA,NA,"S84421241","Planning"
"PW",-10.1198029286339,0.2,1,0.1,NA,NA,NA,NA,"S84421241","Planning"
"PW_DU",-10.324840092,0.2,0.982,0.1,NA,NA,NA,NA,"S84421241","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S84421241","Heuristic"
"Sampling",-28.8194298347621,NA,NA,NA,NA,NA,7.6,2.6,"S84421241","Planning"
"Steps",-7.66495426072435,0.2,NA,NA,1,NA,NA,NA,"S84421241","Heuristic"
"Steps-Cells",-7.66495426072435,0.2,NA,NA,1,NA,NA,NA,"S84421241","Heuristic"
"Steps-Cells-Num",-7.66515427072502,0.2,NA,NA,1,9.2,NA,NA,"S84421241","Heuristic"
"Steps-Num",-7.66515427072502,0.2,NA,NA,1,9.2,NA,NA,"S84421241","Heuristic"
"Cells",-30.5651098170203,1.4108,NA,NA,0,NA,NA,NA,"S96682031","Heuristic"
"Cells-Num",-30.682467139476,0.264,NA,NA,0,0.1,NA,NA,"S96682031","Heuristic"
"DU",-32.139905089187,0.603,0.99,1,NA,NA,NA,NA,"S96682031","Planning"
"DU-Num",-37.667594124,0.3672,0.776,1,NA,1.5,NA,NA,"S96682031","Planning"
"EU",-31.5576747935449,0.603,1,1,NA,NA,NA,NA,"S96682031","Planning"
"EU-Num",-34.0833439513721,0.6466,1,1,NA,3.06,NA,NA,"S96682031","Planning"
"PW",-29.1118511321662,0.7214,1,1.6604,NA,NA,NA,NA,"S96682031","Planning"
"PW_DU",-31.9639530971,0.6902,0.946,1.6604,NA,NA,NA,NA,"S96682031","Planning"
"Random",-44.2065716274245,1,NA,NA,NA,NA,NA,NA,"S96682031","Heuristic"
"Sampling",-29.766771566022,NA,NA,NA,NA,NA,1000,18,"S96682031","Planning"
"Steps",-49.2975210043094,8,NA,NA,1,NA,NA,NA,"S96682031","Heuristic"
"Steps-Cells",-27.8320455750548,0.4312,NA,NA,0.34,NA,NA,NA,"S96682031","Heuristic"
"Steps-Cells-Num",-26.6029361146325,0.3236,NA,NA,0.36,5.1,NA,NA,"S96682031","Heuristic"
"Steps-Num",-45.2565318037428,5.721,NA,NA,1,0.1,NA,NA,"S96682031","Heuristic"
"Cells",-49.9752181141363,8,NA,NA,0,NA,NA,NA,"S52166887","Heuristic"
"Cells-Num",-46.3864472085926,4.743,NA,NA,0,0.1,NA,NA,"S52166887","Heuristic"
"DU",-30.6048959750425,0.7214,0.68,1,NA,NA,NA,NA,"S52166887","Planning"
"DU-Num",-31.9222952551,0.6778,0.58,1,NA,6.6,NA,NA,"S52166887","Planning"
"EU",-43.4042651643644,2.2586,1,1,NA,NA,NA,NA,"S52166887","Planning"
"EU-Num",-43.4042651643644,2.2586,1,1,NA,10,NA,NA,"S52166887","Planning"
"PW",-31.9862455246376,0.7214,1,0.4982,NA,NA,NA,NA,"S52166887","Planning"
"PW_DU",-31.988168282,0.7824,0.67,1.074,NA,NA,NA,NA,"S52166887","Planning"
"Random",-45.0177018536415,1,NA,NA,NA,NA,NA,NA,"S52166887","Heuristic"
"Sampling",-39.2488036138102,NA,NA,NA,NA,NA,8,4.8,"S52166887","Planning"
"Steps",-35.8615595547075,2.1394,NA,NA,1,NA,NA,NA,"S52166887","Heuristic"
"Steps-Cells",-34.2235273415227,0.6466,NA,NA,0.6,NA,NA,NA,"S52166887","Heuristic"
"Steps-Cells-Num",-36.3773636533117,0.232,NA,NA,0.64,0.42,NA,NA,"S52166887","Heuristic"
"Steps-Num",-35.391368870675,0.4,NA,NA,1,0.1,NA,NA,"S52166887","Heuristic"
"Cells",-51.1788971612506,8,NA,NA,0,NA,NA,NA,"S41326310","Heuristic"
"Cells-Num",-45.8784857593456,6.6326,NA,NA,0,0.1,NA,NA,"S41326310","Heuristic"
"DU",-27.543684060459,0.6778,0.58,1,NA,NA,NA,NA,"S41326310","Planning"
"DU-Num",-27.543681877,0.6778,0.58,1,NA,10,NA,NA,"S41326310","Planning"
"EU",-46.8741565438766,2.7058,1,1,NA,NA,NA,NA,"S41326310","Planning"
"EU-Num",-46.8741565438766,2.7058,1,1,NA,10,NA,NA,"S41326310","Planning"
"PW",-26.1240763523445,0.6778,1,0.299,NA,NA,NA,NA,"S41326310","Planning"
"PW_DU",-28.9120973362,0.6342,0.708,1.33,NA,NA,NA,NA,"S41326310","Planning"
"Random",-44.612136740533,1,NA,NA,NA,NA,NA,NA,"S41326310","Heuristic"
"Sampling",-29.1887128690797,NA,NA,NA,NA,NA,17,1,"S41326310","Planning"
"Steps",-25.8804132630076,1.3256,NA,NA,1,NA,NA,NA,"S41326310","Heuristic"
"Steps-Cells",-25.2376984897417,0.5594,NA,NA,0.68,NA,NA,NA,"S41326310","Heuristic"
"Steps-Cells-Num",-26.3543278591972,0.2702,NA,NA,0.7,2.4,NA,NA,"S41326310","Heuristic"
"Steps-Num",-25.9417256817835,0.264,NA,NA,1,0.1,NA,NA,"S41326310","Heuristic"
"Cells",-53.8398719675536,8,NA,NA,0,NA,NA,NA,"S29601985","Heuristic"
"Cells-Num",-47.1397968472918,7.5442,NA,NA,0,0.1,NA,NA,"S29601985","Heuristic"
"DU",-23.3612815689604,0.7214,0.46,1,NA,NA,NA,NA,"S29601985","Planning"
"DU-Num",-25.05399304,0.4312,0.3,1,NA,1.8,NA,NA,"S29601985","Planning"
"EU",-46.4156339784876,5.069,1,1,NA,NA,NA,NA,"S29601985","Planning"
"EU-Num",-46.4156339784876,5.069,1,1,NA,10,NA,NA,"S29601985","Planning"
"PW",-23.9700132623619,0.7214,1,0.2064,NA,NA,NA,NA,"S29601985","Planning"
"PW_DU",-25.69008502,0.6778,0.716,0.969,NA,NA,NA,NA,"S29601985","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S29601985","Heuristic"
"Sampling",-50.1957793554621,NA,NA,NA,NA,NA,10.2,1.6,"S29601985","Planning"
"Steps",-22.8029004222456,1.1552,NA,NA,1,NA,NA,NA,"S29601985","Heuristic"
"Steps-Cells",-27.6272027735934,0.7686,NA,NA,0.82,NA,NA,NA,"S29601985","Heuristic"
"Steps-Cells-Num",-24.1460697788432,0.3084,NA,NA,0.86,0.5,NA,NA,"S29601985","Heuristic"
"Steps-Num",-22.4022263594676,0.4534,NA,NA,1,0.5,NA,NA,"S29601985","Heuristic"
"Cells",-34.9348983013993,3.1582,NA,NA,0,NA,NA,NA,"S78533889","Heuristic"
"Cells-Num",-34.2804925512804,1.1552,NA,NA,0,0.5,NA,NA,"S78533889","Heuristic"
"DU",-34.5969497034857,1.7344,0.99,1,NA,NA,NA,NA,"S78533889","Planning"
"DU-Num",-34.50208111,1.7344,0.974,1,NA,2.52,NA,NA,"S78533889","Planning"
"EU",-34.3708422461697,1.6152,1,1,NA,NA,NA,NA,"S78533889","Planning"
"EU-Num",-34.4810739135556,1.7344,1,1,NA,2.74,NA,NA,"S78533889","Planning"
"PW",-35.0056033019476,1.8536,1,1.2716,NA,NA,NA,NA,"S78533889","Planning"
"PW_DU",-35.075392392,1.8536,0.99,1.2716,NA,NA,NA,NA,"S78533889","Planning"
"Random",-39.2365583178478,1,NA,NA,NA,NA,NA,NA,"S78533889","Heuristic"
"Sampling",-35.7399507313909,NA,NA,NA,NA,NA,88,12.8,"S78533889","Planning"
"Steps",-42.757237269544,8,NA,NA,1,NA,NA,NA,"S78533889","Heuristic"
"Steps-Cells",-34.6517554239427,1.1794,NA,NA,0.32,NA,NA,NA,"S78533889","Heuristic"
"Steps-Cells-Num",-33.1108668605884,0.4534,NA,NA,0.36,0.6,NA,NA,"S78533889","Heuristic"
"Steps-Num",-40.5982604235006,4.1838,NA,NA,1,0.1,NA,NA,"S78533889","Heuristic"
"Cells",-55.1433351822414,8,NA,NA,0,NA,NA,NA,"S13364978","Heuristic"
"Cells-Num",-47.1570456896923,8,NA,NA,0,0.1,NA,NA,"S13364978","Heuristic"
"DU",-29.2025179234352,1.2646,0.08,1,NA,NA,NA,NA,"S13364978","Planning"
"DU-Num",-31.019438722,0.3512,0.12,1,NA,0.26,NA,NA,"S13364978","Planning"
"EU",-47.2153771743665,8,1,1,NA,NA,NA,NA,"S13364978","Planning"
"EU-Num",-47.2153771743665,8,1,1,NA,10,NA,NA,"S13364978","Planning"
"PW",-32.3790086973832,0.7602,1,0.1,NA,NA,NA,NA,"S13364978","Planning"
"PW_DU",-34.8600449251,0.9202,0.57,0.7468,NA,NA,NA,NA,"S13364978","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S13364978","Heuristic"
"Sampling",-35.9296898799123,NA,NA,NA,NA,NA,7.8,1.8,"S13364978","Planning"
"Steps",-35.798580640257,0.8766,NA,NA,1,NA,NA,NA,"S13364978","Heuristic"
"Steps-Cells",-35.798580640257,0.8766,NA,NA,1,NA,NA,NA,"S13364978","Heuristic"
"Steps-Cells-Num",-36.2221320300621,0.3236,NA,NA,1,2.32,NA,NA,"S13364978","Heuristic"
"Steps-Num",-36.2221320300621,0.3236,NA,NA,1,2.32,NA,NA,"S13364978","Heuristic"
"Cells",-16.5288817103607,0.4776,NA,NA,0,NA,NA,NA,"S8758558","Heuristic"
"Cells-Num",-16.063765600178,0.2,NA,NA,0,2.4,NA,NA,"S8758558","Heuristic"
"DU",-31.9229085919248,0.4776,0.99,1,NA,NA,NA,NA,"S8758558","Planning"
"DU-Num",-4.2152110623,0.2,0.99,1,NA,0.6,NA,NA,"S8758558","Planning"
"EU",-29.8144851273656,0.4152,1,1,NA,NA,NA,NA,"S8758558","Planning"
"EU-Num",-4.16946815146967,0.2,1,1,NA,0.6,NA,NA,"S8758558","Planning"
"PW",-18.9346994515919,0.3528,1,1.434,NA,NA,NA,NA,"S8758558","Planning"
"PW_DU",-19.3558544244,0.3528,0.99,1.434,NA,NA,NA,NA,"S8758558","Planning"
"Random",-39.6421234309563,1,NA,NA,NA,NA,NA,NA,"S8758558","Heuristic"
"Sampling",-22.8181954137907,NA,NA,NA,NA,NA,900,7.8,"S8758558","Planning"
"Steps",-47.6280617797037,8,NA,NA,1,NA,NA,NA,"S8758558","Heuristic"
"Steps-Cells",-7.70967454967158,0.2,NA,NA,0.28,NA,NA,NA,"S8758558","Heuristic"
"Steps-Cells-Num",-8.03356678934067,0.2,NA,NA,0.28,4.2,NA,NA,"S8758558","Heuristic"
"Steps-Num",-40.9101286101746,8,NA,NA,1,0.1,NA,NA,"S8758558","Heuristic"
"Cells",-42.0322672412586,8,NA,NA,0,NA,NA,NA,"S30730813","Heuristic"
"Cells-Num",-42.5227172036548,2.2534,NA,NA,0,0.1,NA,NA,"S30730813","Heuristic"
"DU",-39.1821419292,1.3256,0.84,1,NA,NA,NA,NA,"S30730813","Planning"
"DU-Num",-37.94843655,0.4534,0.5,1,NA,0.7,NA,NA,"S30730813","Planning"
"EU",-37.2260536169137,1.8536,1,1,NA,NA,NA,NA,"S30730813","Planning"
"EU-Num",-37.2260536169137,1.8536,1,1,NA,10,NA,NA,"S30730813","Planning"
"PW",-40.5009287670087,1.3256,1,0.6952,NA,NA,NA,NA,"S30730813","Planning"
"PW_DU",-38.4344915,1.3256,0.74,1.5472,NA,NA,NA,NA,"S30730813","Planning"
"Random",-40.7408357246247,1,NA,NA,NA,NA,NA,NA,"S30730813","Heuristic"
"Sampling",-64.776264437234,NA,NA,NA,NA,NA,9.8,8.2,"S30730813","Planning"
"Steps",-42.0290805803216,7.2182,NA,NA,1,NA,NA,NA,"S30730813","Heuristic"
"Steps-Cells",-43.4799456855304,1.469,NA,NA,0.52,NA,NA,NA,"S30730813","Heuristic"
"Steps-Cells-Num",-43.265356622646,0.506,NA,NA,0.52,0.5,NA,NA,"S30730813","Heuristic"
"Steps-Num",-42.4295949118543,1.469,NA,NA,1,0.1,NA,NA,"S30730813","Heuristic"
"Cells",-29.832061801109,1.9728,NA,NA,0,NA,NA,NA,"S55576192","Heuristic"
"Cells-Num",-28.8373866030739,0.6902,NA,NA,0,0.42,NA,NA,"S55576192","Heuristic"
"DU",-29.7483917424156,0.7824,0.99,1,NA,NA,NA,NA,"S55576192","Planning"
"DU-Num",-26.8037119655,0.3618,0.63,1,NA,0.6,NA,NA,"S55576192","Planning"
"EU",-28.8684130680473,0.7214,1,1,NA,NA,NA,NA,"S55576192","Planning"
"EU-Num",-28.1408250056597,0.7824,1,1,NA,2.96,NA,NA,"S55576192","Planning"
"PW",-26.1175637325533,0.948,1,1.434,NA,NA,NA,NA,"S55576192","Planning"
"PW_DU",-30.741310571,0.7512,0.938,1.434,NA,NA,NA,NA,"S55576192","Planning"
"Random",-39.5241403852992,1,NA,NA,NA,NA,NA,NA,"S55576192","Heuristic"
"Sampling",-29.7406766758626,NA,NA,NA,NA,NA,540,14.4,"S55576192","Planning"
"Steps",-44.8589890477152,8,NA,NA,1,NA,NA,NA,"S55576192","Heuristic"
"Steps-Cells",-26.982316378831,0.826,NA,NA,0.3,NA,NA,NA,"S55576192","Heuristic"
"Steps-Cells-Num",-27.7358611853895,0.3244,NA,NA,0.32,0.5,NA,NA,"S55576192","Heuristic"
"Steps-Num",-41.399144887399,5.6176,NA,NA,1,0.1,NA,NA,"S55576192","Heuristic"
"Cells",-36.0995945139027,2.7584,NA,NA,0,NA,NA,NA,"S68573742","Heuristic"
"Cells-Num",-35.1951911386318,1.07,NA,NA,0,0.6,NA,NA,"S68573742","Heuristic"
"DU",-30.1476485989695,0.7214,0.99,1,NA,NA,NA,NA,"S68573742","Planning"
"DU-Num",-28.2585934081,0.547,0.87,1,NA,2.5,NA,NA,"S68573742","Planning"
"EU",-29.7192564060059,0.7214,1,1,NA,NA,NA,NA,"S68573742","Planning"
"EU-Num",-28.6695562471054,0.765,1,1,NA,3.38,NA,NA,"S68573742","Planning"
"PW",-30.2900684149267,0.826,1,1.1092,NA,NA,NA,NA,"S68573742","Planning"
"PW_DU",-31.1046332991,0.7824,0.99,1.1092,NA,NA,NA,NA,"S68573742","Planning"
"Random",-42.8202772663046,1,NA,NA,NA,NA,NA,NA,"S68573742","Heuristic"
"Sampling",-30.3972640705513,NA,NA,NA,NA,NA,800,16.4,"S68573742","Planning"
"Steps",-47.0903393211169,8,NA,NA,1,NA,NA,NA,"S68573742","Heuristic"
"Steps-Cells",-32.7970303618234,1.07,NA,NA,0.3,NA,NA,NA,"S68573742","Heuristic"
"Steps-Cells-Num",-32.7747211394672,0.4,NA,NA,0.38,0.9,NA,NA,"S68573742","Heuristic"
"Steps-Num",-44.005074700626,4.743,NA,NA,1,0.1,NA,NA,"S68573742","Heuristic"
"Cells",-55.0289259205042,8,NA,NA,0,NA,NA,NA,"S48638766","Heuristic"
"Cells-Num",-48.2846461441969,8,NA,NA,0,0.1,NA,NA,"S48638766","Heuristic"
"DU",-33.4888947304288,0.7388,0.42,1,NA,NA,NA,NA,"S48638766","Planning"
"DU-Num",-33.0004164572,0.4936,0.32,1,NA,1.6,NA,NA,"S48638766","Planning"
"EU",-47.9790409819574,3.9506,1,1,NA,NA,NA,NA,"S48638766","Planning"
"EU-Num",-47.9790409819574,3.9506,1,1,NA,10,NA,NA,"S48638766","Planning"
"PW",-31.575269756814,0.6778,1,0.3016,NA,NA,NA,NA,"S48638766","Planning"
"PW_DU",-32.0947810241,0.7824,0.4,1.1672,NA,NA,NA,NA,"S48638766","Planning"
"Random",-47.0971433953213,1,NA,NA,NA,NA,NA,NA,"S48638766","Heuristic"
"Sampling",-42.0640191527199,NA,NA,NA,NA,NA,16.4,1,"S48638766","Planning"
"Steps",-29.4510033525457,1.3498,NA,NA,1,NA,NA,NA,"S48638766","Heuristic"
"Steps-Cells",-28.7867445727575,0.765,NA,NA,0.78,NA,NA,NA,"S48638766","Heuristic"
"Steps-Cells-Num",-26.7014398902973,0.264,NA,NA,0.8,0.5,NA,NA,"S48638766","Heuristic"
"Steps-Num",-25.5447615555927,0.4846,NA,NA,1,0.5,NA,NA,"S48638766","Heuristic"
"Cells",-52.8699507632031,8,NA,NA,0,NA,NA,NA,"S9401020","Heuristic"
"Cells-Num",-47.7462537140966,6.1768,NA,NA,0,0.1,NA,NA,"S9401020","Heuristic"
"DU",-38.1858303928878,1.1794,0.48,1,NA,NA,NA,NA,"S9401020","Planning"
"DU-Num",-36.3993623,0.5372,0.36,1,NA,1.12,NA,NA,"S9401020","Planning"
"EU",-46.916983118771,4.1838,1,1,NA,NA,NA,NA,"S9401020","Planning"
"EU-Num",-46.916983118771,4.1838,1,1,NA,10,NA,NA,"S9401020","Planning"
"PW",-38.7103737197646,1.2646,1,0.28,NA,NA,NA,NA,"S9401020","Planning"
"PW_DU",-37.800876151,1.1794,0.42,1.8868,NA,NA,NA,NA,"S9401020","Planning"
"Random",-46.4039962147613,1,NA,NA,NA,NA,NA,NA,"S9401020","Heuristic"
"Sampling",-41.6063008505288,NA,NA,NA,NA,NA,8.8,4.2,"S9401020","Planning"
"Steps",-37.0529761724539,2.306,NA,NA,1,NA,NA,NA,"S9401020","Heuristic"
"Steps-Cells",-39.004099921921,1.2646,NA,NA,0.74,NA,NA,NA,"S9401020","Heuristic"
"Steps-Cells-Num",-39.690678651708,0.3022,NA,NA,0.74,0.26,NA,NA,"S9401020","Heuristic"
"Steps-Num",-36.2663320433966,0.5282,NA,NA,1,0.18,NA,NA,"S9401020","Heuristic"
"Cells",-36.981549257736,3.1582,NA,NA,0,NA,NA,NA,"S44804838","Heuristic"
"Cells-Num",-38.2426909077622,0.6952,NA,NA,0,0.18,NA,NA,"S44804838","Heuristic"
"DU",-36.5240684742576,1.0942,0.99,1,NA,NA,NA,NA,"S44804838","Planning"
"DU-Num",-44.705939793,0.7512,0.816,1,NA,2.46,NA,NA,"S44804838","Planning"
"EU",-36.3892281447901,1.0942,1,1,NA,NA,NA,NA,"S44804838","Planning"
"EU-Num",-38.0181604765925,1.1794,1,1,NA,4,NA,NA,"S44804838","Planning"
"PW",-38.5310486510494,1.3498,1,1.466,NA,NA,NA,NA,"S44804838","Planning"
"PW_DU",-38.338013139,1.3498,0.966,1.466,NA,NA,NA,NA,"S44804838","Planning"
"Random",-41.0284177920762,1,NA,NA,NA,NA,NA,NA,"S44804838","Heuristic"
"Sampling",-48.5868615304652,NA,NA,NA,NA,NA,415.6,20.6,"S44804838","Planning"
"Steps",-44.6963468727747,8,NA,NA,1,NA,NA,NA,"S44804838","Heuristic"
"Steps-Cells",-35.0374010180173,0.7824,NA,NA,0.38,NA,NA,NA,"S44804838","Heuristic"
"Steps-Cells-Num",-35.9531530099567,0.3084,NA,NA,0.38,0.42,NA,NA,"S44804838","Heuristic"
"Steps-Num",-42.2564394599693,3.8578,NA,NA,1,0.1,NA,NA,"S44804838","Heuristic"
"Cells",-42.7068417780388,7.0884,NA,NA,0,NA,NA,NA,"S34813648","Heuristic"
"Cells-Num",-42.8146235526191,1.3256,NA,NA,0,0.1,NA,NA,"S34813648","Heuristic"
"DU",-37.3587878956346,1.07,0.928,1,NA,NA,NA,NA,"S34813648","Planning"
"DU-Num",-33.397442241,0.3688,0.5,1,NA,0.5,NA,NA,"S34813648","Planning"
"EU",-37.0016188609725,1.1552,1,1,NA,NA,NA,NA,"S34813648","Planning"
"EU-Num",-37.2997709165053,1.1552,1,1,NA,6.2,NA,NA,"S34813648","Planning"
"PW",-37.1050489451709,1.1552,1,1.028,NA,NA,NA,NA,"S34813648","Planning"
"PW_DU",-37.735046618,0.948,0.79,1.6604,NA,NA,NA,NA,"S34813648","Planning"
"Random",-42.5326951988531,1,NA,NA,NA,NA,NA,NA,"S34813648","Heuristic"
"Sampling",-72.5008170011063,NA,NA,NA,NA,NA,127.4,22.4,"S34813648","Planning"
"Steps",-42.4783350061847,8,NA,NA,1,NA,NA,NA,"S34813648","Heuristic"
"Steps-Cells",-40.2828223199781,1.1552,NA,NA,0.46,NA,NA,NA,"S34813648","Heuristic"
"Steps-Cells-Num",-40.7865348699036,0.3076,NA,NA,0.46,0.26,NA,NA,"S34813648","Heuristic"
"Steps-Num",-42.6621401330283,1.6152,NA,NA,1,0.1,NA,NA,"S34813648","Heuristic"
"Cells",-46.928974041385,7.5442,NA,NA,0,NA,NA,NA,"S85185002","Heuristic"
"Cells-Num",-47.418196719996,1.6966,NA,NA,0,0.1,NA,NA,"S85185002","Heuristic"
"DU",-41.8767996584671,1.2404,0.83,1,NA,NA,NA,NA,"S85185002","Planning"
"DU-Num",-43.084864893,0.4152,0.48,1,NA,0.52,NA,NA,"S85185002","Planning"
"EU",-41.248365320901,1.6152,1,1,NA,NA,NA,NA,"S85185002","Planning"
"EU-Num",-41.248365320901,1.6152,1,1,NA,10,NA,NA,"S85185002","Planning"
"PW",-45.2989598012695,1.4108,1,0.7534,NA,NA,NA,NA,"S85185002","Planning"
"PW_DU",-40.29182786,1.009,0.68,2,NA,NA,NA,NA,"S85185002","Planning"
"Random",-45.9984311016528,1,NA,NA,NA,NA,NA,NA,"S85185002","Heuristic"
"Sampling",-52.1086038245779,NA,NA,NA,NA,NA,9.6,12.4,"S85185002","Planning"
"Steps",-46.6250532671161,6.3066,NA,NA,1,NA,NA,NA,"S85185002","Heuristic"
"Steps-Cells",-42.4893574208626,0.826,NA,NA,0.48,NA,NA,NA,"S85185002","Heuristic"
"Steps-Cells-Num",-43.8392119983542,0.2542,NA,NA,0.52,0.26,NA,NA,"S85185002","Heuristic"
"Steps-Num",-46.6831987578372,1.1794,NA,NA,1,0.1,NA,NA,"S85185002","Heuristic"
"Cells",-44.7198451061196,8,NA,NA,0,NA,NA,NA,"S34482687","Heuristic"
"Cells-Num",-44.2957488642913,2.1394,NA,NA,0,0.1,NA,NA,"S34482687","Heuristic"
"DU",-37.3052439871743,0.9654,0.8,1,NA,NA,NA,NA,"S34482687","Planning"
"DU-Num",-37.68957318,0.9044,0.78,1,NA,5.4,NA,NA,"S34482687","Planning"
"EU",-40.8522967951048,1.3498,1,1,NA,NA,NA,NA,"S34482687","Planning"
"EU-Num",-40.8522967951048,1.3498,1,1,NA,10,NA,NA,"S34482687","Planning"
"PW",-37.1113044537779,1.009,1,0.6534,NA,NA,NA,NA,"S34482687","Planning"
"PW_DU",-37.483728925,1.009,0.78,1.3266,NA,NA,NA,NA,"S34482687","Planning"
"Random",-43.2258423794131,1,NA,NA,NA,NA,NA,NA,"S34482687","Heuristic"
