subject	world	trialNo	steps	path	times
S5849675	easy_spider_3_copy	3	51	p(2,5)p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(5,5);p(6,5);p(7,5);p(8,5);p(9,5);p(9,6);p(9,7);	1438;271;323;325;286;722;267;597;239;499;257;339;490;349;215;268;270;691;325;641;400;673;296;
S5849675	easy_spider_2	4	69	p(4,5)p(3,5);p(2,5);p(1,5);p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(4,4);p(4,3);p(4,2);p(4,1);p(5,1);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	1552;305;293;431;376;253;292;278;305;382;313;354;10983;258;257;393;353;467;
S5849675	easy_labyrinth	5	83	p(0,2)p(0,3);p(0,4);p(0,5);p(0,6);p(0,5);p(0,4);p(0,3);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(4,1);p(4,0);	6185;336;299;291;590;315;295;341;1709;355;281;355;611;271;
S5849675	easy_spider_3	6	98	p(2,3)p(2,2);p(2,1);p(1,1);p(0,1);p(1,1);p(2,1);p(2,2);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,0);	968;241;713;258;486;220;344;287;275;279;483;305;553;266;209;
S5849675	easy_spider_1	7	135	p(2,3)p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(8,4);p(8,5);p(8,6);p(8,5);p(8,4);p(8,3);p(7,3);p(6,3);p(5,3);p(5,2);p(5,1);p(5,0);p(5,1);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(1,6);p(0,6);p(0,5);p(0,4);	1547;262;393;2111;288;350;417;309;318;402;234;283;267;250;337;296;329;271;511;280;365;337;316;356;324;297;313;956;250;231;929;277;264;408;272;351;279;
S5849675	easy_large_loop_2_copy	8	150	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(7,4);p(7,5);p(7,6);p(7,7);p(6,7);	396763;315;290;799;249;319;301;468;1785;303;292;305;400;282;521;
S5849675	medium_roomG	9	159	p(3,3)p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,1);p(6,1);	2315363;307;866;288;343;405;1511;270;764;
S5849675	medium_cathedral_copy	10	194	p(4,4)p(5,4);p(6,4);p(7,4);p(8,4);p(8,3);p(8,2);p(8,1);p(8,0);p(9,0);p(10,0);p(9,0);p(8,0);p(8,1);p(8,2);p(8,3);p(8,4);p(8,5);p(8,6);p(8,7);p(8,8);p(8,7);p(8,6);p(8,5);p(8,4);p(7,4);p(6,4);p(5,4);p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,7);	1944;305;316;410;1887;228;630;260;781;262;732;261;315;272;304;324;341;361;315;251;418;236;378;272;282;278;234;290;329;747;308;300;896;211;286;
S5849675	medium_roomG_copy	11	213	p(6,3)p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(9,3);p(10,3);p(11,3);p(11,4);p(11,5);p(11,6);p(12,6);	932;274;299;319;490;500;226;329;462;719;373;256;298;312;435;831;301;363;552;
S5849675	medium_library	12	228	p(1,3)p(1,2);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(6,3);p(6,2);p(6,1);p(7,1);p(7,0);	977;254;570;225;222;262;369;328;347;959;595;277;321;979;205;
S5849675	medium_library_rotate	13	235	p(2,1)p(3,1);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(3,3);	1509;201;527;245;274;326;758;
S5849675	medium_cathedral	14	240	p(2,4)p(1,4);p(0,4);p(0,5);p(0,6);p(0,7);	1063;333;780;293;274;
S5849675	medium_cubicles	15	251	p(0,0)p(1,0);p(2,0);p(3,0);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(4,5);p(5,5);p(5,6);	1069;325;407;1303;307;771;277;642;433;816;641;
