"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"EU-Num",-35.9142392836008,1.8536,1,1,NA,8.4,NA,NA,"S2336314","Planning"
"PW",-38.9896472146183,1.564,1,0.526,NA,NA,NA,NA,"S2336314","Planning"
"PW_DU",-31.7139558271166,0.6778,0.04,0.1856,NA,NA,NA,NA,"S2336314","Planning"
"Random",-57.1551530601317,1,NA,NA,NA,NA,NA,NA,"S2336314","Heuristic"
"Sampling",-39.451111279146,NA,NA,NA,NA,NA,408,37.2,"S2336314","Planning"
"Steps",-30.9889642339123,0.6778,NA,NA,1,NA,NA,NA,"S2336314","Heuristic"
"Steps-Cells",-31.4395534304175,0.6778,NA,NA,0.98,NA,NA,NA,"S2336314","Heuristic"
"Steps-Cells-Num",-32.5186079353187,0.216,NA,NA,0.98,0.26,NA,NA,"S2336314","Heuristic"
"Steps-Num",-32.089595855059,0.216,NA,NA,1,0.26,NA,NA,"S2336314","Heuristic"
"Cells",-55.4963133681626,7.0884,NA,NA,0,NA,NA,NA,"S81243558","Heuristic"
"Cells-Num",-55.5209113306187,1.3256,NA,NA,0,0.1,NA,NA,"S81243558","Heuristic"
"DU",-32.4495440895231,0.5808,0.24,1,NA,NA,NA,NA,"S81243558","Planning"
"DU-Num",-32.1905343472,0.393,0.16,1,NA,1.5,NA,NA,"S81243558","Planning"
"EU",-38.4717284874723,2.2586,1,1,NA,NA,NA,NA,"S81243558","Planning"
"EU-Num",-38.4714819087508,2.2586,1,1,NA,10,NA,NA,"S81243558","Planning"
"PW",-28.2343915905502,0.887,1,0.1,NA,NA,NA,NA,"S81243558","Planning"
"PW_DU",-34.4302013823453,0.5372,0.24,0.538,NA,NA,NA,NA,"S81243558","Planning"
"Random",-54.6057078892061,1,NA,NA,NA,NA,NA,NA,"S81243558","Heuristic"
"Sampling",-46.2717772110958,NA,NA,NA,NA,NA,10,4.6,"S81243558","Planning"
"Steps",-30.2665125699629,0.6778,NA,NA,1,NA,NA,NA,"S81243558","Heuristic"
"Steps-Cells",-30.9463684595272,0.6778,NA,NA,0.96,NA,NA,NA,"S81243558","Heuristic"
"Steps-Cells-Num",-31.8460119396008,0.232,NA,NA,0.96,0.26,NA,NA,"S81243558","Heuristic"
"Steps-Num",-31.3814035946786,0.232,NA,NA,1,0.26,NA,NA,"S81243558","Heuristic"
"Cells",-71.7818225275555,5.5248,NA,NA,0,NA,NA,NA,"S74735471","Heuristic"
"Cells-Num",-72.0092653828174,1.0332,NA,NA,0,0.1,NA,NA,"S74735471","Heuristic"
"DU",-33.5326953864715,0.6466,0.72,1,NA,NA,NA,NA,"S74735471","Planning"
"DU-Num",-34.1225475703,0.3244,0.58,1,NA,2.02,NA,NA,"S74735471","Planning"
"EU",-38.8634668935192,1.3498,1,1,NA,NA,NA,NA,"S74735471","Planning"
"EU-Num",-38.8049208703867,1.3498,1,1,NA,6.8,NA,NA,"S74735471","Planning"
"PW",-35.6722222461199,0.4936,1,0.3872,NA,NA,NA,NA,"S74735471","Planning"
"PW_DU",-37.8534907338825,0.4624,0.924,0.4386,NA,NA,NA,NA,"S74735471","Planning"
"Random",-71.0844637408503,1,NA,NA,NA,NA,NA,NA,"S74735471","Heuristic"
"Sampling",-45.5148618639295,NA,NA,NA,NA,NA,176,13,"S74735471","Planning"
"Steps",-45.3057077376177,1.3062,NA,NA,1,NA,NA,NA,"S74735471","Heuristic"
"Steps-Cells",-45.1704287280317,0.9044,NA,NA,0.68,NA,NA,NA,"S74735471","Heuristic"
"Steps-Cells-Num",-41.6156644269561,0.2702,NA,NA,0.72,0.42,NA,NA,"S74735471","Heuristic"
"Steps-Num",-39.9115956186243,0.3396,NA,NA,1,0.26,NA,NA,"S74735471","Heuristic"
"Cells",-61.6954923192786,5.721,NA,NA,0,NA,NA,NA,"S75615972","Heuristic"
"Cells-Num",-61.8646792166889,1.1552,NA,NA,0,0.1,NA,NA,"S75615972","Heuristic"
"DU",-32.2429244391692,0.603,0,1,NA,NA,NA,NA,"S75615972","Planning"
"DU-Num",-32.9579535671,0.506,0,1,NA,4.8,NA,NA,"S75615972","Planning"
"EU",-42.3491508808193,2.2586,1,1,NA,NA,NA,NA,"S75615972","Planning"
"EU-Num",-42.3496714165378,2.2586,1,1,NA,10,NA,NA,"S75615972","Planning"
"PW",-38.0782506472912,1.3256,1,0.2414,NA,NA,NA,NA,"S75615972","Planning"
"PW_DU",-31.119164243483,0.603,0,0.1,NA,NA,NA,NA,"S75615972","Planning"
"Random",-61.5500022348054,1,NA,NA,NA,NA,NA,NA,"S75615972","Heuristic"
"Sampling",-48.6837889659522,NA,NA,NA,NA,NA,49.8,3.8,"S75615972","Planning"
"Steps",-30.7547468704154,0.5906,NA,NA,1,NA,NA,NA,"S75615972","Heuristic"
"Steps-Cells",-30.7547468704154,0.5906,NA,NA,1,NA,NA,NA,"S75615972","Heuristic"
"Steps-Cells-Num",-31.9918068416886,0.232,NA,NA,1,0.42,NA,NA,"S75615972","Heuristic"
"Steps-Num",-31.9918068416886,0.232,NA,NA,1,0.42,NA,NA,"S75615972","Heuristic"
"Cells",-55.8840951300432,4.1838,NA,NA,0,NA,NA,NA,"S5849675","Heuristic"
"Cells-Num",-56.7701707105876,0.9896,NA,NA,0,0.1,NA,NA,"S5849675","Heuristic"
"DU",-36.2474545811492,1.0332,0.22,1,NA,NA,NA,NA,"S5849675","Planning"
"DU-Num",-37.9750722522,0.9202,0.22,1,NA,7.22,NA,NA,"S5849675","Planning"
"EU",-38.2746673032785,2.306,1,1,NA,NA,NA,NA,"S5849675","Planning"
"EU-Num",-38.2750691435749,2.306,1,1,NA,10,NA,NA,"S5849675","Planning"
"PW",-41.5357232353005,1.6492,1,0.9988,NA,NA,NA,NA,"S5849675","Planning"
"PW_DU",-33.0762668974419,0.9112,0.18,0.48,NA,NA,NA,NA,"S5849675","Planning"
"Random",-55.3504710459034,1,NA,NA,NA,NA,NA,NA,"S5849675","Heuristic"
"Sampling",-32.2130682004699,NA,NA,NA,NA,NA,156,2.2,"S5849675","Planning"
"Steps",-30.0425999605506,0.5158,NA,NA,1,NA,NA,NA,"S5849675","Heuristic"
"Steps-Cells",-31.2682432207753,0.5158,NA,NA,0.98,NA,NA,NA,"S5849675","Heuristic"
"Steps-Cells-Num",-31.8349616884525,0.2,NA,NA,0.98,0.18,NA,NA,"S5849675","Heuristic"
"Steps-Num",-30.9467127457739,0.2,NA,NA,1,0.18,NA,NA,"S5849675","Heuristic"
"Cells",-55.7809691467171,5.069,NA,NA,0,NA,NA,NA,"S16707442","Heuristic"
"Cells-Num",-55.6121720851129,0.948,NA,NA,0,0.1,NA,NA,"S16707442","Heuristic"
"DU",-34.3254797981559,0.5808,0.08,1,NA,NA,NA,NA,"S16707442","Planning"
"DU-Num",-34.364574779,0.5808,0.08,1,NA,8.84,NA,NA,"S16707442","Planning"
"EU",-45.564860027784,3.2248,1,1,NA,NA,NA,NA,"S16707442","Planning"
"EU-Num",-45.564989754709,3.2248,1,1,NA,10,NA,NA,"S16707442","Planning"
"PW",-32.4875373421042,1.3256,1,0.1,NA,NA,NA,NA,"S16707442","Planning"
"PW_DU",-30.2129790063697,0.4936,0.08,0.1,NA,NA,NA,NA,"S16707442","Planning"
"Random",-55.9384577208062,1,NA,NA,NA,NA,NA,NA,"S16707442","Heuristic"
"Sampling",-42.1713468286196,NA,NA,NA,NA,NA,11.6,4.4,"S16707442","Planning"
"Steps",-29.1407396180896,0.3528,NA,NA,1,NA,NA,NA,"S16707442","Heuristic"
"Steps-Cells",-29.5554568402651,0.3528,NA,NA,0.96,NA,NA,NA,"S16707442","Heuristic"
"Steps-Cells-Num",-30.2905065159154,0.2,NA,NA,0.96,1.52,NA,NA,"S16707442","Heuristic"
"Steps-Num",-29.9126081780324,0.2,NA,NA,1,1.52,NA,NA,"S16707442","Heuristic"
"Cells",-64.7937437669606,8,NA,NA,0,NA,NA,NA,"S6496917","Heuristic"
"Cells-Num",-65.1994295370976,2.0202,NA,NA,0,0.1,NA,NA,"S6496917","Heuristic"
"DU",-27.7493449580862,0.4846,0.16,1,NA,NA,NA,NA,"S6496917","Planning"
"DU-Num",-28.0128297662,0.4312,0.16,1,NA,3.8,NA,NA,"S6496917","Planning"
"EU",-44.5493829812558,2.7584,1,1,NA,NA,NA,NA,"S6496917","Planning"
"EU-Num",-44.5500226663669,2.7584,1,1,NA,10,NA,NA,"S6496917","Planning"
"PW",-32.0257845247203,0.948,1,0.1,NA,NA,NA,NA,"S6496917","Planning"
"PW_DU",-26.8589514621554,0.4534,0.2,0.3802,NA,NA,NA,NA,"S6496917","Planning"
"Random",-63.6166212364854,1,NA,NA,NA,NA,NA,NA,"S6496917","Heuristic"
"Sampling",-45.7442390837816,NA,NA,NA,NA,NA,16,4.2,"S6496917","Planning"
"Steps",-31.7376403903212,0.3528,NA,NA,1,NA,NA,NA,"S6496917","Heuristic"
"Steps-Cells",-31.7376403903212,0.3528,NA,NA,1,NA,NA,NA,"S6496917","Heuristic"
"Steps-Cells-Num",-31.939130908536,0.2,NA,NA,1,1.6,NA,NA,"S6496917","Heuristic"
"Steps-Num",-31.939130908536,0.2,NA,NA,1,1.6,NA,NA,"S6496917","Heuristic"
"Cells",-71.7057065851261,5.8508,NA,NA,0,NA,NA,NA,"S65440055","Heuristic"
"Cells-Num",-71.8924135185616,1.0942,NA,NA,0,0.1,NA,NA,"S65440055","Heuristic"
"DU",-29.1672908329743,0.6466,0.68,1,NA,NA,NA,NA,"S65440055","Planning"
"DU-Num",-25.4241204874,0.3528,0.52,1,NA,1.6,NA,NA,"S65440055","Planning"
"EU",-34.0318678885256,1.3256,1,1,NA,NA,NA,NA,"S65440055","Planning"
"EU-Num",-34.5105271695717,1.2404,1,1,NA,6.6,NA,NA,"S65440055","Planning"
"PW",-29.0708981520332,0.5372,1,0.379,NA,NA,NA,NA,"S65440055","Planning"
"PW_DU",-29.4697167451798,0.5372,0.946,0.4386,NA,NA,NA,NA,"S65440055","Planning"
"Random",-71.0844637408503,1,NA,NA,NA,NA,NA,NA,"S65440055","Heuristic"
"Sampling",-45.3184859222789,NA,NA,NA,NA,NA,224,18.2,"S65440055","Planning"
"Steps",-45.9040952444223,1.3062,NA,NA,1,NA,NA,NA,"S65440055","Heuristic"
"Steps-Cells",-45.9685063254484,0.9044,NA,NA,0.7,NA,NA,NA,"S65440055","Heuristic"
"Steps-Cells-Num",-41.6856801663708,0.2924,NA,NA,0.76,0.34,NA,NA,"S65440055","Heuristic"
"Steps-Num",-41.3486844383085,0.4242,NA,NA,1,0.42,NA,NA,"S65440055","Heuristic"
"Cells",-54.9127884506601,5.8508,NA,NA,0,NA,NA,NA,"S83584521","Heuristic"
"Cells-Num",-54.7860618816667,1.0942,NA,NA,0,0.1,NA,NA,"S83584521","Heuristic"
"DU",-37.1892714495325,0.6084,0,1,NA,NA,NA,NA,"S83584521","Planning"
"DU-Num",-37.1892758142,0.6084,0,1,NA,10,NA,NA,"S83584521","Planning"
"EU",-41.3079679979914,2.7584,1,1,NA,NA,NA,NA,"S83584521","Planning"
"EU-Num",-41.3084779561775,2.7584,1,1,NA,10,NA,NA,"S83584521","Planning"
"PW",-33.8905670265513,1.3256,1,0.142,NA,NA,NA,NA,"S83584521","Planning"
"PW_DU",-37.2088108481049,0.5648,0,0.3668,NA,NA,NA,NA,"S83584521","Planning"
"Random",-54.0821597304406,1,NA,NA,NA,NA,NA,NA,"S83584521","Heuristic"
"Sampling",-31.3427063973963,NA,NA,NA,NA,NA,38,1,"S83584521","Planning"
"Steps",-28.22477371835,0.3528,NA,NA,1,NA,NA,NA,"S83584521","Heuristic"
"Steps-Cells",-30.7481990859726,0.3084,NA,NA,0.86,NA,NA,NA,"S83584521","Heuristic"
"Steps-Cells-Num",-30.4128850227946,0.2,NA,NA,0.86,1.8,NA,NA,"S83584521","Heuristic"
"Steps-Num",-28.3363720306038,0.2,NA,NA,1,1.6,NA,NA,"S83584521","Heuristic"
"Cells",-74.6673849726533,6.6326,NA,NA,0,NA,NA,NA,"S14179350","Heuristic"
"Cells-Num",-75.4394061548689,1.2986,NA,NA,0,0.1,NA,NA,"S14179350","Heuristic"
"DU",-40.4232740586161,1.009,0.24,1,NA,NA,NA,NA,"S14179350","Planning"
"DU-Num",-42.96827077,0.5212,0.16,1,NA,1.62,NA,NA,"S14179350","Planning"
"EU",-59.4227441253848,2.9916,1,1,NA,NA,NA,NA,"S14179350","Planning"
"EU-Num",-59.4229733227193,2.9916,1,1,NA,10,NA,NA,"S14179350","Planning"
"PW",-39.4556723823841,1.3256,1,0.1078,NA,NA,NA,NA,"S14179350","Planning"
"PW_DU",-41.98232758623,1.009,0.478,0.3466,NA,NA,NA,NA,"S14179350","Planning"
"Random",-73.8570524630901,1,NA,NA,NA,NA,NA,NA,"S14179350","Heuristic"
"Sampling",-66.357050972677,NA,NA,NA,NA,NA,7.8,8.6,"S14179350","Planning"
"Steps",-45.1867411141716,1.3498,NA,NA,1,NA,NA,NA,"S14179350","Heuristic"
"Steps-Cells",-45.1867411141716,1.3498,NA,NA,1,NA,NA,NA,"S14179350","Heuristic"
"Steps-Cells-Num",-40.8287489551341,0.2,NA,NA,0.96,0.1,NA,NA,"S14179350","Heuristic"
"Steps-Num",-41.1106874227075,0.232,NA,NA,1,0.1,NA,NA,"S14179350","Heuristic"
"Cells",-65.447842284226,4.8358,NA,NA,0,NA,NA,NA,"S16872184","Heuristic"
"Cells-Num",-64.6918247437304,0.948,NA,NA,0,0.1,NA,NA,"S16872184","Heuristic"
"DU",-34.2954555606461,0.6778,0.04,1,NA,NA,NA,NA,"S16872184","Planning"
"DU-Num",-34.2954555892,0.6778,0.04,1,NA,10,NA,NA,"S16872184","Planning"
"EU",-47.7699856269535,2.4252,1,1,NA,NA,NA,NA,"S16872184","Planning"
"EU-Num",-47.8611899602571,2.4252,1,1,NA,9.2,NA,NA,"S16872184","Planning"
"PW",-37.2000152616424,1.2404,1,0.1,NA,NA,NA,NA,"S16872184","Planning"
"PW_DU",-32.8378608685938,0.7214,0.04,0.1268,NA,NA,NA,NA,"S16872184","Planning"
"Random",-64.4405740027023,1,NA,NA,NA,NA,NA,NA,"S16872184","Heuristic"
"Sampling",-58.3187690628988,NA,NA,NA,NA,NA,22.2,5.2,"S16872184","Planning"
"Steps",-30.9067067982828,0.4846,NA,NA,1,NA,NA,NA,"S16872184","Heuristic"
"Steps-Cells",-31.2962540645488,0.4846,NA,NA,0.98,NA,NA,NA,"S16872184","Heuristic"
"Steps-Cells-Num",-32.2458526377422,0.2,NA,NA,1,0.26,NA,NA,"S16872184","Heuristic"
"Steps-Num",-32.2458526377422,0.2,NA,NA,1,0.26,NA,NA,"S16872184","Heuristic"
"Cells",-61.330801776928,7.5442,NA,NA,0,NA,NA,NA,"S33070680","Heuristic"
"Cells-Num",-61.7729489994055,1.6492,NA,NA,0,0.1,NA,NA,"S33070680","Heuristic"
"DU",-34.9236539599713,0.9342,0.38,1,NA,NA,NA,NA,"S33070680","Planning"
"DU-Num",-33.584785786,0.3466,0.2,1,NA,0.7,NA,NA,"S33070680","Planning"
"EU",-36.4324702465801,1.8536,1,1,NA,NA,NA,NA,"S33070680","Planning"
"EU-Num",-36.4328586470575,1.8536,1,1,NA,10,NA,NA,"S33070680","Planning"
"PW",-31.7928706156791,1.009,1,0.1558,NA,NA,NA,NA,"S33070680","Planning"
"PW_DU",-34.5725504052192,0.851,0.57,0.1,NA,NA,NA,NA,"S33070680","Planning"
"Random",-60.4381674161341,1,NA,NA,NA,NA,NA,NA,"S33070680","Heuristic"
"Sampling",-41.7612222517278,NA,NA,NA,NA,NA,802.4,37.8,"S33070680","Planning"
"Steps",-40.0725005292831,1.1898,NA,NA,1,NA,NA,NA,"S33070680","Heuristic"
"Steps-Cells",-41.062427992168,1.1898,NA,NA,0.96,NA,NA,NA,"S33070680","Heuristic"
"Steps-Cells-Num",-40.7786620084089,0.3084,NA,NA,0.98,0.34,NA,NA,"S33070680","Heuristic"
"Steps-Num",-40.3282075135643,0.3084,NA,NA,1,0.34,NA,NA,"S33070680","Heuristic"
"Cells",-53.6117429645334,7.0884,NA,NA,0,NA,NA,NA,"S40989920","Heuristic"
"Cells-Num",-53.7166243764992,1.3256,NA,NA,0,0.1,NA,NA,"S40989920","Heuristic"
"DU",-36.7211686517748,1.3498,0,1,NA,NA,NA,NA,"S40989920","Planning"
"DU-Num",-33.5996600941,0.4846,0,1,NA,0.5,NA,NA,"S40989920","Planning"
"EU",-44.9359119829295,4.091,1,1,NA,NA,NA,NA,"S40989920","Planning"
"EU-Num",-44.9359119829295,4.091,1,1,NA,10,NA,NA,"S40989920","Planning"
"PW",-37.8179333842873,1.9728,1,0.1,NA,NA,NA,NA,"S40989920","Planning"
"PW_DU",-39.9658580138142,1.3062,0,0.1,NA,NA,NA,NA,"S40989920","Planning"
"Random",-52.6423208398009,1,NA,NA,NA,NA,NA,NA,"S40989920","Heuristic"
"Sampling",-50.8204395565871,NA,NA,NA,NA,NA,14.6,3,"S40989920","Planning"
"Steps",-40.1916185205744,1.275,NA,NA,1,NA,NA,NA,"S40989920","Heuristic"
"Steps-Cells",-40.6715254928807,1.275,NA,NA,0.96,NA,NA,NA,"S40989920","Heuristic"
"Steps-Cells-Num",-36.5744064105613,0.2382,NA,NA,0.96,0.26,NA,NA,"S40989920","Heuristic"
"Steps-Num",-36.7433818765349,0.2702,NA,NA,1,0.26,NA,NA,"S40989920","Heuristic"
"Cells",-58.962690274022,5.8508,NA,NA,0,NA,NA,NA,"S60160436","Heuristic"
"Cells-Num",-59.2387648437374,1.1794,NA,NA,0,0.1,NA,NA,"S60160436","Heuristic"
"DU",-34.0173025302553,0.5718,0.38,1,NA,NA,NA,NA,"S60160436","Planning"
"DU-Num",-33.6880448396,0.5718,0.38,1,NA,5.92,NA,NA,"S60160436","Planning"
"EU",-39.5339369167949,2.2586,1,1,NA,NA,NA,NA,"S60160436","Planning"
"EU-Num",-39.5342159858338,2.2586,1,1,NA,10,NA,NA,"S60160436","Planning"
"PW",-28.26792867481,0.6902,1,0.2104,NA,NA,NA,NA,"S60160436","Planning"
"PW_DU",-34.7804890259015,0.4846,0.418,0.4878,NA,NA,NA,NA,"S60160436","Planning"
"Random",-58.1894268376629,1,NA,NA,NA,NA,NA,NA,"S60160436","Heuristic"
"Sampling",-39.9401148004549,NA,NA,NA,NA,NA,75,2.4,"S60160436","Planning"
"Steps",-26.5111373253551,0.4846,NA,NA,1,NA,NA,NA,"S60160436","Heuristic"
"Steps-Cells",-28.4669878648435,0.4222,NA,NA,0.82,NA,NA,NA,"S60160436","Heuristic"
"Steps-Cells-Num",-27.7918400253881,0.2,NA,NA,0.82,0.5,NA,NA,"S60160436","Heuristic"
"Steps-Num",-27.8418997527459,0.2,NA,NA,1,0.26,NA,NA,"S60160436","Heuristic"
"Cells",-54.8923144691225,5.069,NA,NA,0,NA,NA,NA,"S44914572","Heuristic"
"Cells-Num",-54.8616110300521,1.009,NA,NA,0,0.1,NA,NA,"S44914572","Heuristic"
"DU",-22.5691744625068,1.009,0.89,1,NA,NA,NA,NA,"S44914572","Planning"
"DU-Num",-22.789617549,0.887,0.88,1,NA,4.16,NA,NA,"S44914572","Planning"
"EU",-24.9204772347471,1.1794,1,1,NA,NA,NA,NA,"S44914572","Planning"
"EU-Num",-24.8331376006428,1.009,1,1,NA,5.12,NA,NA,"S44914572","Planning"
"PW",-22.9423427032981,1.009,1,0.6952,NA,NA,NA,NA,"S44914572","Planning"
"PW_DU",-26.9000534399428,0.9044,0.878,1.3266,NA,NA,NA,NA,"S44914572","Planning"
"Random",-54.9577284727948,1,NA,NA,NA,NA,NA,NA,"S44914572","Heuristic"
"Sampling",-22.2870840486143,NA,NA,NA,NA,NA,1000,29.6,"S44914572","Planning"
"Steps",-28.1367166180244,0.6778,NA,NA,1,NA,NA,NA,"S44914572","Heuristic"
"Steps-Cells",-29.8613944413825,0.5594,NA,NA,0.84,NA,NA,NA,"S44914572","Heuristic"
"Steps-Cells-Num",-29.1700402211889,0.216,NA,NA,0.86,0.5,NA,NA,"S44914572","Heuristic"
"Steps-Num",-27.7699600747042,0.248,NA,NA,1,0.5,NA,NA,"S44914572","Heuristic"
"Cells",-59.6151203083695,5.395,NA,NA,0,NA,NA,NA,"S7413727","Heuristic"
"Cells-Num",-59.7928736043572,0.948,NA,NA,0,0.1,NA,NA,"S7413727","Heuristic"
"DU",-32.6677798912409,0.826,0.2,1,NA,NA,NA,NA,"S7413727","Planning"
"DU-Num",-33.0717184272,0.5594,0.12,1,NA,1.8,NA,NA,"S7413727","Planning"
"EU",-44.3235757038057,2.7584,1,1,NA,NA,NA,NA,"S7413727","Planning"
"EU-Num",-44.3235627426533,2.7584,1,1,NA,10,NA,NA,"S7413727","Planning"
"PW",-31.7340328045117,1.1552,1,0.1,NA,NA,NA,NA,"S7413727","Planning"
"PW_DU",-32.0474545581908,0.826,0.2,0.74,NA,NA,NA,NA,"S7413727","Planning"
"Random",-59.2878391463283,1,NA,NA,NA,NA,NA,NA,"S7413727","Heuristic"
"Sampling",-41.5364733111327,NA,NA,NA,NA,NA,18,1,"S7413727","Planning"
"Steps",-32.3203596623011,0.887,NA,NA,1,NA,NA,NA,"S7413727","Heuristic"
"Steps-Cells",-32.7138685410073,0.887,NA,NA,0.98,NA,NA,NA,"S7413727","Heuristic"
"Steps-Cells-Num",-32.4980250030482,0.2,NA,NA,0.98,0.1,NA,NA,"S7413727","Heuristic"
"Steps-Num",-32.1765023619629,0.2,NA,NA,1,0.1,NA,NA,"S7413727","Heuristic"
"Cells",-63.5241031317065,7.0884,NA,NA,0,NA,NA,NA,"S61961644","Heuristic"
"Cells-Num",-63.7100291934331,1.4448,NA,NA,0,0.1,NA,NA,"S61961644","Heuristic"
"DU",-29.7286075625655,0.5594,0.34,1,NA,NA,NA,NA,"S61961644","Planning"
"DU-Num",-32.3990021112,0.3022,0.24,1,NA,2.7,NA,NA,"S61961644","Planning"
"EU",-40.5375015627439,1.9728,1,1,NA,NA,NA,NA,"S61961644","Planning"
"EU-Num",-40.5380306005381,1.9728,1,1,NA,10,NA,NA,"S61961644","Planning"
"PW",-28.3779662206723,0.7214,1,0.1342,NA,NA,NA,NA,"S61961644","Planning"
"PW_DU",-32.1907826248082,0.4936,0.48,0.2168,NA,NA,NA,NA,"S61961644","Planning"
"Random",-62.635891988474,1,NA,NA,NA,NA,NA,NA,"S61961644","Heuristic"
"Sampling",-47.7873138964884,NA,NA,NA,NA,NA,31,7,"S61961644","Planning"
"Steps",-38.7469719780969,0.652,NA,NA,1,NA,NA,NA,"S61961644","Heuristic"
"Steps-Cells",-39.2128042328483,0.652,NA,NA,0.96,NA,NA,NA,"S61961644","Heuristic"
"Steps-Cells-Num",-38.3953390305736,0.216,NA,NA,0.98,1.6,NA,NA,"S61961644","Heuristic"
"Steps-Num",-38.0606016513249,0.216,NA,NA,1,1.6,NA,NA,"S61961644","Heuristic"
